# Entry Date,Exit Date,Entry Abs,Exit Abs,Entry Z,Exit Z,Time Held,Weight,ADF,PnL %,PnL Abs,Outcome,Exit Reason
2020-05-25,2020-07-03,40.75100,43.58100,1.74,1.41,31,1.00,0.0015,-6.945,-2.83000,loss,Time Stop 
2020-05-28,2020-06-17,39.08500,33.15800,1.44,-0.08,16,1.00,0.0007,15.164,5.92700,win,Time Stop 
2020-05-29,2020-06-18,42.86100,31.63600,2.05,-0.34,16,1.00,0.6075,26.189,11.22500,win,Time Stop 
2020-06-01,2020-07-10,44.60400,51.68000,2.25,2.53,31,1.00,0.7192,-15.864,-7.07600,loss,Time Stop 
2020-06-02,2020-07-13,43.96200,47.92400,2.00,1.75,31,1.00,0.7258,-9.012,-3.96200,loss,Time Stop 
2020-06-03,2020-07-14,43.30600,44.94700,1.80,1.18,31,1.00,0.7761,-3.789,-1.64100,loss,Time Stop 
2020-06-10,2020-07-21,40.34800,53.39500,1.15,2.23,31,1.00,0.4750,-32.336,-13.04700,loss,Time Stop 
2020-06-11,2020-07-22,40.36900,46.42100,1.09,1.04,31,1.00,0.5057,-14.992,-6.05200,loss,Time Stop 
2020-06-26,2020-08-06,40.90700,63.25900,1.08,3.05,31,1.00,0.0053,-54.641,-22.35200,loss,Time Stop 
2020-07-01,2020-08-11,41.32300,67.94800,1.06,3.32,31,1.00,0.0029,-64.431,-26.62500,loss,Time Stop 
2020-07-06,2020-07-24,43.58100,47.57400,1.27,1.08,16,1.00,0.0061,-9.162,-3.99300,loss,Time Stop 
2020-07-07,2020-07-27,42.96800,47.29400,1.12,0.99,16,1.00,0.0053,-10.068,-4.32600,loss,Time Stop 
2020-07-08,2020-07-28,48.29800,53.16400,1.79,1.74,16,1.00,0.0144,-10.075,-4.86600,loss,Time Stop 
2020-07-09,2020-07-29,49.79000,51.36000,1.88,1.39,16,1.00,0.0256,-3.153,-1.57000,loss,Time Stop 
2020-07-10,2020-07-30,51.40500,50.84900,1.97,1.23,16,1.00,0.0333,1.082,0.55600,win,Time Stop 
2020-07-13,2020-07-31,51.68000,49.45000,1.88,0.98,16,1.00,0.0381,4.315,2.23000,win,Time Stop 
2020-07-14,2020-08-03,47.92400,52.34000,1.32,1.29,16,1.00,0.0165,-9.215,-4.41600,loss,Time Stop 
2020-07-20,2020-08-07,49.11200,68.91800,1.29,2.98,16,1.00,0.0143,-40.328,-19.80600,loss,Time Stop 
2020-07-21,2020-08-10,52.29200,72.94300,1.59,3.29,16,1.00,0.4148,-39.492,-20.65100,loss,Time Stop 
2020-07-22,2020-08-18,53.39500,61.58500,1.63,1.46,21,1.00,0.5218,-15.339,-8.19000,loss,Time Stop 
2020-07-29,2020-08-25,53.16400,59.97000,1.36,1.00,21,1.00,0.4308,-12.802,-6.80600,loss,Time Stop 
2020-07-30,2020-08-26,51.36000,57.68500,1.11,0.71,21,1.00,0.4368,-12.315,-6.32500,loss,Time Stop 
2020-07-31,2020-08-27,50.84900,58.06400,1.00,0.71,21,1.00,0.4143,-14.189,-7.21500,loss,Time Stop 
2020-08-04,2020-09-14,52.34000,51.39100,1.08,-0.23,31,1.00,0.0203,1.813,0.94900,win,Time Stop 
2020-08-05,2020-09-15,54.17300,63.37200,1.21,1.01,31,1.00,0.4604,-16.981,-9.19900,loss,Time Stop 
2020-08-06,2020-09-16,59.95700,63.00700,1.72,0.91,31,1.00,0.5854,-5.087,-3.05000,loss,Time Stop 
2020-08-07,2020-09-17,63.25900,58.97500,1.93,0.46,31,1.00,0.6786,6.772,4.28400,win,Time Stop 
2020-08-10,2020-09-18,68.91800,55.69000,2.31,0.12,31,1.00,0.4064,19.194,13.22800,win,Time Stop 
2020-08-11,2020-09-21,72.94300,61.21600,2.48,0.60,31,1.00,0.6215,16.077,11.72700,win,Time Stop 
2020-08-12,2020-09-22,67.94800,52.74100,1.89,-0.17,31,1.00,0.2569,22.380,15.20700,win,Time Stop 
2020-08-13,2020-09-23,64.33700,52.93500,1.49,-0.14,31,1.00,0.1317,17.722,11.40200,win,Time Stop 
2020-08-14,2020-09-24,69.16300,73.05700,1.79,1.50,31,1.00,0.2477,-5.630,-3.89400,loss,Time Stop 
2020-08-17,2020-09-25,63.05800,57.12100,1.22,0.15,31,1.00,0.0968,9.415,5.93700,win,Time Stop 
2020-08-18,2020-09-28,63.22800,63.41300,1.18,0.64,31,1.00,0.0929,-0.293,-0.18500,loss,Time Stop 
2020-09-25,2020-11-05,73.05700,79.77500,1.44,0.65,31,1.00,0.1541,-9.196,-6.71800,loss,Time Stop 
2020-10-02,2020-10-22,79.23900,83.73800,1.76,1.45,16,1.00,0.1809,-5.678,-4.49900,loss,Time Stop 
2020-10-05,2020-10-23,76.06300,87.80500,1.44,1.68,16,1.00,0.1662,-15.437,-11.74200,loss,Time Stop 
2020-10-06,2020-10-26,79.28300,90.45900,1.60,1.79,16,1.00,0.1598,-14.096,-11.17600,loss,Time Stop 
2020-10-07,2020-10-27,72.70500,86.79300,1.05,1.45,16,1.00,0.1344,-19.377,-14.08800,loss,Time Stop 
2020-10-08,2020-10-28,73.85600,90.51600,1.10,1.67,16,1.00,0.1782,-22.557,-16.66000,loss,Time Stop 
2020-10-09,2020-10-29,74.52900,86.49800,1.10,1.31,16,1.00,0.1358,-16.060,-11.96900,loss,Time Stop 
2020-10-12,2020-10-30,75.33900,94.95100,1.12,1.87,16,1.00,0.3537,-26.032,-19.61200,loss,Time Stop 
2020-10-13,2020-11-02,74.82100,89.32700,1.04,1.40,16,1.00,0.2965,-19.388,-14.50600,loss,Time Stop 
2020-10-14,2020-11-03,77.13200,81.68500,1.16,0.79,16,1.00,0.1756,-5.903,-4.55300,loss,Time Stop 
2020-10-19,2020-11-13,85.84200,69.19400,1.65,-0.21,21,1.00,0.5789,19.394,16.64800,win,Time Stop 
2020-10-20,2020-11-16,82.77200,71.43500,1.36,-0.04,21,1.00,0.6045,13.697,11.33700,win,Time Stop 
2020-10-22,2020-12-02,79.24600,59.58200,1.03,-0.77,31,1.00,0.5135,24.814,19.66400,win,Time Stop 
2020-10-23,2020-12-03,83.73800,65.46100,1.28,-0.34,31,1.00,0.6225,21.826,18.27700,win,Time Stop 
2020-10-26,2020-12-04,87.80500,64.22900,1.49,-0.41,31,1.00,0.7246,26.850,23.57600,win,Time Stop 
2020-10-27,2020-12-07,90.45900,64.63700,1.59,-0.36,31,1.00,0.7288,28.546,25.82200,win,Time Stop 
2020-10-28,2020-12-08,86.79300,62.24700,1.28,-0.50,31,1.00,0.6095,28.281,24.54600,win,Time Stop 
2020-10-29,2020-12-09,90.51600,65.25300,1.45,-0.29,31,1.00,0.7038,27.910,25.26300,win,Time Stop 
2020-10-30,2020-12-10,86.49800,57.48400,1.14,-0.77,31,1.00,0.3852,33.543,29.01400,win,Time Stop 
2020-11-02,2020-12-11,94.95100,60.88900,1.59,-0.52,31,1.00,0.7970,35.873,34.06200,win,Time Stop 
