,GBP 1y
2024-06-10,505.15299999999996
2024-06-11,502.45
2024-06-12,495.711
2024-06-13,493.958
2024-06-14,493.0450000000001
2024-06-17,494.242
2024-06-18,490.63100000000003
2024-06-19,493.664
2024-06-20,487.66499999999996
2024-06-21,487.791
2024-06-24,487.62999999999994
2024-06-25,488.92499999999995
2024-06-26,490.87500000000006
2024-06-27,490.338
2024-06-28,489.59999999999997
2024-07-01,491.3
2024-07-02,490.09000000000003
2024-07-03,487.96999999999997
2024-07-04,487.24999999999994
2024-07-05,483.613
2024-07-08,483.4
2024-07-09,483.902
2024-07-10,484.07099999999997
2024-07-11,480.171
2024-07-12,481.1
2024-07-15,479.994
2024-07-16,478.95000000000005
2024-07-17,481.81
2024-07-18,479.35699999999997
2024-07-19,479.26
